layer_name,parameter_shape,parameter_norm,gradient_norm,update_norm,update_to_weight_ratio,learning_rate,warmup_fraction,schedule_multiplier,optimizer_step,execution_mode
token_emb.weight,"[33, 64]",46.13385009765625,0.04826914519071579,0.0005880327080376446,1.2746230951739244e-05,2.9999999999999997e-05,0.1,0.1,0,smoke
pos_emb.weight,"[32, 64]",44.932003021240234,0.04742716997861862,0.0004157866060268134,9.253685081216231e-06,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.ln1.weight,[64],8.0,0.012228073552250862,0.0002400280354777351,3.0003504434716888e-05,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.ln1.bias,[64],0.0,0.016810767352581024,0.00023999594850465655,23999.594850465655,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.attn.qkv.weight,"[192, 64]",7.9970383644104,0.17068687081336975,0.0033247838728129864,0.0004157518973035605,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.attn.proj.weight,"[64, 64]",4.644518852233887,0.17690172791481018,0.0019199703820049763,0.00041338412935529865,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.ln2.weight,[64],8.0,0.0091556953266263,0.00024005785235203803,3.0007231544004753e-05,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.ln2.bias,[64],0.0,0.011347262188792229,0.00023999347467906773,23999.347467906773,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.mlp.fc1.weight,"[256, 64]",9.292614936828613,0.13490043580532074,0.0038394341245293617,0.00041317047468661014,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.mlp.fc1.bias,[256],1.1810626983642578,0.016891635954380035,0.0004799690213985741,0.0004063874187740576,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.mlp.fc2.weight,"[64, 256]",4.587711811065674,0.2590915262699127,0.0038397551979869604,0.000836965214058428,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.0.mlp.fc2.bias,[64],0.27718621492385864,0.04518537223339081,0.00023999738914426416,0.0008658345048298667,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.ln1.weight,[64],8.0,0.010496847331523895,0.00024007272440940142,3.0009090551175177e-05,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.ln1.bias,[64],0.0,0.014318175613880157,0.0002399942313786596,23999.42313786596,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.attn.qkv.weight,"[192, 64]",8.01540470123291,0.1754821538925171,0.003324619261547923,0.0004147787149208496,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.attn.proj.weight,"[64, 64]",4.575300693511963,0.1695134937763214,0.0019199728267267346,0.000419638610736419,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.ln2.weight,[64],8.0,0.011082676239311695,0.0002400727680651471,3.0009096008143388e-05,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.ln2.bias,[64],0.0,0.00890188105404377,0.0002399895020062104,23998.95020062104,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.mlp.fc1.weight,"[256, 64]",9.241835594177246,0.13326555490493774,0.0038393079303205013,0.000415426988631937,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.mlp.fc1.bias,[256],1.1367833614349365,0.015686728060245514,0.00047996744979172945,0.00042221540715187556,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.mlp.fc2.weight,"[64, 256]",4.634398937225342,0.2420922815799713,0.003839722368866205,0.0008285265081570822,2.9999999999999997e-05,0.1,0.1,0,smoke
blocks.1.mlp.fc2.bias,[64],0.28904587030410767,0.04464186728000641,0.00023999801487661898,0.0008303111704177437,2.9999999999999997e-05,0.1,0.1,0,smoke
ln_f.weight,[64],8.0,0.07605651766061783,0.00024005037266761065,3.000629658345133e-05,2.9999999999999997e-05,0.1,0.1,0,smoke
ln_f.bias,[64],0.0,0.0630955919623375,0.00023999826225917786,23999.826225917786,2.9999999999999997e-05,0.1,0.1,0,smoke
lm_head.weight,"[33, 64]",3.3515899181365967,0.83562833070755,0.0013787202769890428,0.0004113630577321876,2.9999999999999997e-05,0.1,0.1,0,smoke
token_emb.weight,"[33, 64]",46.13385009765625,0.055138811469078064,0.0009827982867136598,2.1303192441846278e-05,5.9999999999999995e-05,0.2,0.2,1,smoke
pos_emb.weight,"[32, 64]",44.932010650634766,0.04034243896603584,0.0006553182611241937,1.4584663620321113e-05,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.0.ln1.weight,[64],7.999955177307129,0.00991692766547203,0.0003765519359149039,4.706925571071203e-05,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.0.ln1.bias,[64],0.00023999594850465655,0.01630987599492073,0.00036396089126355946,1.5165293144792302,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.0.attn.qkv.weight,"[192, 64]",7.9969892501831055,0.16812482476234436,0.005115232430398464,0.0006396447801003786,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.0.attn.proj.weight,"[64, 64]",4.644455909729004,0.175344780087471,0.0029156117234379053,0.0006277617400415856,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.0.ln2.weight,[64],7.999999523162842,0.008486722595989704,0.0003532443370204419,4.4155544759430795e-05,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.0.ln2.bias,[64],0.00023999347467906773,0.01129917148500681,0.0003892432141583413,1.6218908229853266,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.0.mlp.fc1.weight,"[256, 64]",9.292590141296387,0.1353263109922409,0.006008515600115061,0.0006465921243435824,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.0.mlp.fc1.bias,[256],1.1810520887374878,0.019500885158777237,0.0007966960547491908,0.0006745647057792659,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.0.mlp.fc2.weight,"[64, 256]",4.58769416809082,0.2618071138858795,0.006087188143283129,0.0013268513375677626,5.9999999999999995e-05,0.2,0.2,1,smoke
